contract,month,retention_probability
Two year,41,0.9979721773277996
Two year,42,0.9979721773277996
Two year,43,0.9972442618082321
Two year,44,0.9972442618082321
Two year,45,0.9972442618082321
Two year,46,0.9964950174342213
Two year,47,0.9964950174342213
Two year,48,0.995718930972045
Two year,49,0.9949305549380209
Two year,50,0.9941333349420767
Two year,51,0.9941333349420767
Two year,52,0.9933151182054991
Two year,53,0.9924775843790181
Two year,54,0.9916278604197892
Two year,55,0.9907580114194203
Two year,56,0.9898749828887438
Two year,57,0.9880702882982452
Two year,58,0.9871459942960957
Two year,59,0.9861995455959076
Two year,60,0.9861995455959076
Two year,61,0.983198938459206
Two year,62,0.983198938459206
Two year,63,0.983198938459206
Two year,64,0.9809643954172538
Two year,65,0.9786287659043554
Two year,66,0.9749497103934366
Two year,67,0.9710757380342574
Two year,68,0.9682972666807979
Two year,69,0.9652427011707642
Two year,70,0.9567458464069369
Two year,71,0.9467797438401981
Two year,72,0.9357385806467265
